event_id,family,year,era,measure,cost,stop_usd,rl,rs
NFP_2015-02-06,NFP,2015,2013-19,S1_ATR_D1,base,3.507269148860072,-3.719875064119487,2.229483001765492
CPI_2015-02-26,CPI,2015,2013-19,S1_ATR_D1,base,2.90531763446367,0.2943522043356864,-0.8903719577213671
NFP_2015-03-06,NFP,2015,2013-19,S1_ATR_D1,base,2.6424123283657153,-2.4853172532924783,0.029619544671213974
CPI_2015-04-17,CPI,2015,2013-19,S1_ATR_D1,base,2.504920317392195,-0.7084055279839605,-1.3487452580996675
NFP_2015-05-08,NFP,2015,2013-19,S1_ATR_D1,base,2.7421799832489966,2.492945409039231,-1.9172319220895122
CPI_2015-05-22,CPI,2015,2013-19,S1_ATR_D1,base,2.340075264128168,-2.8555699051371404,1.285963552595833
NFP_2015-06-05,NFP,2015,2013-19,S1_ATR_D1,base,2.069025188794825,-5.239138657521125,2.7897631122422886
CPI_2015-06-18,CPI,2015,2013-19,S1_ATR_D1,base,2.1156095771411114,-0.415804744649018,-1.4805096998250706
NFP_2015-07-02,NFP,2015,2013-19,S1_ATR_D1,base,1.9789712671922663,1.3687566842964674,-3.7399582160184006
CPI_2015-07-17,CPI,2015,2013-19,S1_ATR_D1,base,1.9179893264298928,-0.3456182424298483,-0.47544169690301785
NFP_2015-08-07,NFP,2015,2013-19,S1_ATR_D1,base,2.9673724697570565,-2.5454057341910192,1.074463395645422
CPI_2015-08-19,CPI,2015,2013-19,S1_ATR_D1,base,2.4658577272632836,0.24666467707164708,-2.0951168199526466
NFP_2015-09-04,NFP,2015,2013-19,S1_ATR_D1,base,2.654675628220123,0.8093776042389151,-3.4743849312331267
CPI_2015-09-16,CPI,2015,2013-19,S1_ATR_D1,base,1.9784867341782617,-0.021497566430512344,-0.5506898940379605
NFP_2015-10-02,NFP,2015,2013-19,S1_ATR_D1,base,2.3183635705007046,3.5995008531804484,-4.284724137489155
CPI_2015-10-15,CPI,2015,2013-19,S1_ATR_D1,base,2.741753132736663,-1.1950026101472602,0.4719964881406383
NFP_2015-11-06,NFP,2015,2013-19,S1_ATR_D1,base,2.3517963484669133,-5.240148666798171,6.37905467868412
CPI_2015-11-17,CPI,2015,2013-19,S1_ATR_D1,base,2.4509525688325255,-1.1836883899314536,0.700272996640508
NFP_2015-12-04,NFP,2015,2013-19,S1_ATR_D1,base,2.396650261763188,-2.9523855077606873,1.296670002119261
CPI_2015-12-15,CPI,2015,2013-19,S1_ATR_D1,base,2.6377169727300096,-0.8600394483006496,0.3197687085914591
NFP_2016-01-08,NFP,2016,2013-19,S1_ATR_D1,base,2.24524523138759,-2.7060825762204055,0.19515952817742402
CPI_2016-01-20,CPI,2016,2013-19,S1_ATR_D1,base,2.5253514594826547,0.18435920998319644,-1.1906969181295457
NFP_2016-02-05,NFP,2016,2013-19,S1_ATR_D1,base,2.180929242028847,-0.19387880260007184,-1.7507839669516494
CPI_2016-02-19,CPI,2016,2013-19,S1_ATR_D1,base,4.1461836103247,-0.2966284698385241,-0.08969117987774268
NFP_2016-03-04,NFP,2016,2013-19,S1_ATR_D1,base,4.129190345333595,-1.3598690131458802,1.0178368272002245
CPI_2016-03-16,CPI,2016,2013-19,S1_ATR_D1,base,4.03021870897331,-0.6983003288962879,0.3383679766470298
NFP_2016-04-01,NFP,2016,2013-19,S1_ATR_D1,base,3.598130625485971,-1.8333751985750872,0.9042963940644657
CPI_2016-04-14,CPI,2016,2013-19,S1_ATR_D1,base,2.8357640739535777,0.31491128200761054,-1.840592434307469
