event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
NFP_2017-11-03,NFP,2017,2013-19,m60,10.0,base,10.0,0.30185045000000627,-0.4265495500000043
CPI_2017-11-15,CPI,2017,2013-19,m60,10.0,base,10.0,-0.2616751000000022,0.15272489999999833
NFP_2017-12-08,NFP,2017,2013-19,m60,10.0,base,10.0,0.039275964999978895,-0.16602403499998672
CPI_2017-12-13,CPI,2017,2013-19,m60,10.0,base,10.0,0.36319089999997234,-0.4828091000000086
NFP_2018-01-05,NFP,2018,2013-19,m60,10.0,base,10.0,0.40928114999999254,-0.5230188500000168
CPI_2018-01-12,CPI,2018,2013-19,m60,10.0,base,10.0,-0.5248150499999611,0.4001849500000162
NFP_2018-02-02,NFP,2018,2013-19,m60,10.0,base,10.0,-0.535956020000026,0.4154439799999864
CPI_2018-02-14,CPI,2018,2013-19,m60,10.0,base,10.0,-1.373109399999953,0.6001905999999962
NFP_2018-03-09,NFP,2018,2013-19,m60,10.0,base,10.0,0.048046844999998936,-0.17715315499999634
CPI_2018-03-13,CPI,2018,2013-19,m60,10.0,base,10.0,-0.011336000000005697,-0.12323599999997441
NFP_2018-04-06,NFP,2018,2013-19,m60,10.0,base,10.0,0.5116556400000036,-0.6457443600000033
CPI_2018-04-11,CPI,2018,2013-19,m60,10.0,base,10.0,0.06923159999998915,-0.17006840000003648
NFP_2018-05-04,NFP,2018,2013-19,m60,10.0,base,10.0,0.39169904999998834,-0.5283009499999934
CPI_2018-05-10,CPI,2018,2013-19,m60,10.0,base,10.0,0.24062116499997047,-0.352978834999999
NFP_2018-06-01,NFP,2018,2013-19,m60,10.0,base,10.0,-0.49174239999999825,0.39065760000000865
CPI_2018-06-12,CPI,2018,2013-19,m60,10.0,base,10.0,0.03295767999998134,-0.16564231999998355
NFP_2018-07-06,NFP,2018,2013-19,m60,10.0,base,10.0,-0.0803517499999998,-0.03835175000001527
CPI_2018-07-12,CPI,2018,2013-19,m60,10.0,base,10.0,-0.015245549999985997,-0.09524554999995871
