group,model,features,adapt,tau,n_trades,trade_share,mean_R,t,win_rate,avg_win_R,avg_loss_R,pf,total_R,max_dd_R,worst_R,max_loss_streak,cvar10_R
NFP,lgbm,PRICE+MACRO+RATES,rolling5y,0.1,17,0.23943661971830985,-0.06076815729362478,-0.1429369564701316,0.5882352941176471,1.1940391015363458,-1.8533499556221547,0.9203713199859814,-1.0330586739916212,6.872025073577333,-3.7813787293986825,3.0,-3.7813787293986825
NFP,lgbm,PRICE+MACRO+RATES,rolling5y,0.2,11,0.15492957746478872,-0.3031776975589217,-0.505387528336751,0.45454545454545453,1.5353238768699307,-1.8352623429162989,0.6971409667923574,-3.3349546731481388,8.087125616505014,-3.7813787293986825,3.0,-3.7813787293986825
NFP,lgbm,PRICE+MACRO+RATES,rolling5y,0.3,5,0.07042253521126761,-1.5928092049384681,-1.9093782647687363,0.2,1.373460553941772,-2.334376644658528,0.14709071874546206,-7.96404602469234,7.96404602469234,-3.7813787293986825,2.0,-3.7813787293986825
NFP,lgbm,PRICE+MACRO+RATES,decay3y,0.0,26,0.36619718309859156,-0.21244966178567132,-0.6152943547123871,0.46153846153846156,1.3295815360989278,-1.5341906885438992,0.7428289880561443,-5.523691206427454,11.710991042342156,-3.7813787293986825,7.0,-3.723710154603717
NFP,lgbm,PRICE+MACRO+RATES,decay3y,0.1,19,0.2676056338028169,-0.07715285927221252,-0.17342310580224504,0.47368421052631576,1.6038813751603938,-1.5900836702615582,0.9078096106772227,-1.465904326172038,9.49181328552923,-3.7813787293986825,5.0,-3.7813787293986825
NFP,lgbm,PRICE+MACRO+RATES,decay3y,0.2,14,0.19718309859154928,0.12739640949775052,0.2664804135146473,0.5,1.5741279674640107,-1.3193351484685096,1.1931221337438527,1.7835497329685075,5.518126631209949,-3.7813787293986825,4.0,-3.7813787293986825
NFP,lgbm,PRICE+MACRO+RATES,decay3y,0.3,12,0.16901408450704225,0.06161387434168153,0.11235598372327427,0.5,1.6033320737954508,-1.4801043251120882,1.0832561236344138,0.7393664921001784,5.16340654260291,-3.7813787293986825,3.0,-3.7813787293986825
NFP,lgbm,ALL,expanding,0.0,25,0.352112676056338,-0.04116979055609421,-0.14333696736570192,0.48,1.1458911221298127,-1.1369183253430852,0.9303620388716636,-1.0292447639023552,9.981283023684341,-3.7813787293986825,6.0,-3.0124070551518445
NFP,lgbm,ALL,expanding,0.1,19,0.2676056338028169,-0.29560818673780137,-0.9205294160341438,0.42105263157894735,0.9723760543621042,-1.217778543901369,0.5807152610235985,-5.616555548018226,11.205728664643,-3.7813787293986825,6.0,-3.7813787293986825
NFP,lgbm,ALL,expanding,0.2,13,0.18309859154929578,-0.3657675878784824,-0.8394227208769007,0.38461538461538464,1.1310666441358819,-1.3012889828874603,0.5432434008749789,-4.754978642420271,8.712287408998545,-3.7813787293986825,5.0,-3.7813787293986825
NFP,lgbm,ALL,expanding,0.3,12,0.16901408450704225,-0.5165061155750434,-1.1621277027618775,0.3333333333333333,1.0530596190497898,-1.3012889828874603,0.40462173771468174,-6.198073386900521,8.712287408998545,-3.7813787293986825,5.0,-3.7813787293986825
NFP,lgbm,ALL,rolling5y,0.0,22,0.30985915492957744,-0.2617669200584374,-0.7352847020954968,0.5454545454545454,1.080081642061223,-1.8719851946020296,0.6923655027886096,-5.758872241285623,11.474606818301131,-3.7813787293986825,5.0,-3.4888363451467894
NFP,lgbm,ALL,rolling5y,0.1,19,0.2676056338028169,-0.32699853453415717,-0.8549636856817934,0.5263157894736842,1.0378890655202018,-1.8435403123723337,0.625541012073792,-6.212972156148986,11.474606818301131,-3.7813787293986825,5.0,-3.7813787293986825
NFP,lgbm,ALL,rolling5y,0.2,15,0.2112676056338028,-0.16136778057750026,-0.3822654623179204,0.5333333333333333,1.1473619183716688,-1.6570588650908367,0.791324189790599,-2.420516708662504,6.874795924179589,-3.7813787293986825,4.0,-3.7813787293986825
NFP,lgbm,ALL,rolling5y,0.3,12,0.16901408450704225,-0.467785977265108,-0.9678734772774951,0.4166666666666667,1.1971960656909117,-1.6570588650908367,0.5160589433105038,-5.613431727181296,6.8747959241795895,-3.7813787293986825,4.0,-3.7813787293986825
NFP,lgbm,ALL,decay3y,0.0,30,0.4225352112676056,-0.15198642623319258,-0.5222926438841327,0.5333333333333333,1.081556244950412,-1.561749479014455,0.7914613044874192,-4.559592786995777,9.458513773494019,-3.7813787293986825,5.0,-2.889005063323505
NFP,lgbm,ALL,decay3y,0.1,23,0.323943661971831,-0.10354729746343087,-0.32755040605254426,0.5217391304347826,1.0391066057751945,-1.350078828269204,0.8396330784011199,-2.3815878416589102,8.192687633590587,-3.7813787293986825,5.0,-3.0191603938098677
NFP,lgbm,ALL,decay3y,0.2,18,0.2535211267605634,-0.05562270643705442,-0.14961207862460948,0.5,1.1703551954765343,-1.2816006083506433,0.913198064865718,-1.0012087158669796,6.994987560845239,-3.7813787293986825,4.0,-3.7813787293986825
NFP,lgbm,ALL,decay3y,0.3,9,0.1267605633802817,-0.236442341243387,-0.43771796807383634,0.3333333333333333,1.3140550566038196,-1.0116910401669903,0.6494349581206734,-2.127981071190483,4.259178409818394,-3.7813787293986825,3.0,-3.7813787293986825
NFP,knn,PRICE,expanding,0.0,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE,rolling5y,0.0,13,0.18309859154929578,-0.39302171947553993,-1.0713374597474317,0.46153846153846156,0.9196545255144327,-1.5181727866098025,0.5192263453385166,-5.109282353182019,7.396340067106176,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE,rolling5y,0.1,8,0.11267605633802817,-0.5670304522604057,-1.130513241029861,0.375,1.0736219124394102,-1.5514218710802954,0.41521468755309704,-4.536243618083246,4.751715774720639,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE,rolling5y,0.2,6,0.08450704225352113,-0.6620549980227121,-1.0324284069342347,0.3333333333333333,1.3133954849804124,-1.6497802395242744,0.3980516475816012,-3.972329988136272,5.345790542078044,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE,rolling5y,0.3,3,0.04225352112676056,-0.8740289615439462,-0.8106177812880476,0.3333333333333333,1.2533304160190528,-1.9377086503254457,0.3234052796865388,-2.6220868846318384,2.6220868846318384,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE,decay3y,0.0,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+MACRO,expanding,0.0,7,0.09859154929577464,-1.0279032505564667,-2.2000304148761214,0.14285714285714285,1.5416463246593748,-1.4561615130924404,0.17645093061430514,-7.195322753895267,8.736969078554642,-2.243435380905006,6.0,-2.243435380905006
NFP,knn,PRICE+MACRO,expanding,0.1,1,0.014084507042253521,-0.8651471810954797,0.0,0.0,0.0,-0.8651471810954797,0.0,-0.8651471810954797,0.8651471810954797,-0.8651471810954797,1.0,-0.8651471810954797
NFP,knn,PRICE+MACRO,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+MACRO,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+MACRO,rolling5y,0.0,15,0.2112676056338028,-0.7161945491228342,-2.3212967985230377,0.26666666666666666,1.0779073829350108,-1.3685952516893234,0.2864004683513651,-10.742918236842513,11.34011339788266,-2.243435380905006,4.0,-2.243435380905006
NFP,knn,PRICE+MACRO,rolling5y,0.1,8,0.11267605633802817,-0.5782175622535884,-1.0710829570002254,0.375,1.2179497537237123,-1.6559179518399687,0.4413080076958127,-4.625740498028708,5.65279878923902,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+MACRO,rolling5y,0.2,8,0.11267605633802817,-0.5782175622535884,-1.0710829570002254,0.375,1.2179497537237123,-1.6559179518399687,0.4413080076958127,-4.625740498028708,5.65279878923902,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+MACRO,rolling5y,0.3,6,0.08450704225352113,-0.6772522695788911,-1.0424554250907667,0.3333333333333333,1.3133954849804124,-1.672576146858543,0.3926265143285856,-4.063513617473347,5.3168440334924,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+MACRO,decay3y,0.0,7,0.09859154929577464,-1.0279032505564667,-2.2000304148761214,0.14285714285714285,1.5416463246593748,-1.4561615130924404,0.17645093061430514,-7.195322753895267,8.736969078554642,-2.243435380905006,6.0,-2.243435380905006
NFP,knn,PRICE+MACRO,decay3y,0.1,1,0.014084507042253521,-0.8651471810954797,0.0,0.0,0.0,-0.8651471810954797,0.0,-0.8651471810954797,0.8651471810954797,-0.8651471810954797,1.0,-0.8651471810954797
NFP,knn,PRICE+MACRO,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+MACRO,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+RATES,expanding,0.0,4,0.056338028169014086,-0.45434610903330425,-0.397690142804801,0.25,2.895764276050223,-1.5710495707278131,0.6144012109282067,-1.817384436133217,4.71314871218344,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+RATES,expanding,0.1,2,0.028169014084507043,-1.7893651132514534,0.0,0.0,0.0,-1.7893651132514534,0.0,-3.578730226502907,3.578730226502907,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+RATES,expanding,0.2,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+RATES,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+RATES,rolling5y,0.0,9,0.1267605633802817,-0.8808270881615567,-1.5776659439369722,0.3333333333333333,1.108305324435272,-1.8753932944599712,0.2954861062234986,-7.92744379345401,8.971971059530462,-3.666041579808751,3.0,-3.666041579808751
NFP,knn,PRICE+RATES,rolling5y,0.1,6,0.08450704225352113,-0.6644695359842628,-1.1228495775383829,0.3333333333333333,1.1401943536146826,-1.5668014807837354,0.3638605042179121,-3.9868172159055772,5.013875507115889,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+RATES,rolling5y,0.2,2,0.028169014084507043,-0.06546505304703376,0.0,0.5,1.0270582912103121,-1.1579883973043796,0.8869331450998534,-0.13093010609406752,1.1579883973043796,-1.1579883973043796,1.0,-1.1579883973043796
NFP,knn,PRICE+RATES,rolling5y,0.3,1,0.014084507042253521,-1.1579883973043796,0.0,0.0,0.0,-1.1579883973043796,0.0,-1.1579883973043796,1.1579883973043796,-1.1579883973043796,1.0,-1.1579883973043796
NFP,knn,PRICE+RATES,decay3y,0.0,4,0.056338028169014086,-0.45434610903330425,-0.397690142804801,0.25,2.895764276050223,-1.5710495707278131,0.6144012109282067,-1.817384436133217,4.71314871218344,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+RATES,decay3y,0.1,2,0.028169014084507043,-1.7893651132514534,0.0,0.0,0.0,-1.7893651132514534,0.0,-3.578730226502907,3.578730226502907,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+RATES,decay3y,0.2,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+RATES,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,expanding,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,rolling5y,0.0,9,0.1267605633802817,-0.7300396726118492,-1.7542016499787636,0.3333333333333333,0.8352881885703224,-1.512703603202935,0.27609116115071,-6.570357053506643,7.597415344716955,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+DXYFX,rolling5y,0.1,6,0.08450704225352113,-0.6747598904863658,-1.13423926951353,0.3333333333333333,1.1401943536146826,-1.5822370125368896,0.36031085879685776,-4.048559342918194,5.075617634128506,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+DXYFX,rolling5y,0.2,4,0.056338028169014086,-0.9852997871119933,-1.2787836939081054,0.25,1.2533304160190528,-1.7315098548223418,0.24127890706261643,-3.941199148447973,3.941199148447973,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+DXYFX,rolling5y,0.3,1,0.014084507042253521,-1.6319819197458851,0.0,0.0,0.0,-1.6319819197458851,0.0,-1.6319819197458851,1.6319819197458851,-1.6319819197458851,1.0,-1.6319819197458851
NFP,knn,PRICE+DXYFX,decay3y,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+DXYFX,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,expanding,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,rolling5y,0.0,15,0.2112676056338028,-0.27406148456097584,-0.8291786268675798,0.4666666666666667,0.9321537288053479,-1.329499796256509,0.6134897613382663,-4.110922268414638,7.574114259434987,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+VOLRISK,rolling5y,0.1,12,0.16901408450704225,-0.5453393069072735,-1.4932882223109731,0.3333333333333333,1.022981671791198,-1.329499796256509,0.3847242679809435,-6.544071682887282,8.452232915585286,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+VOLRISK,rolling5y,0.2,11,0.15492957746478872,-0.4750802817928179,-1.2101607913118209,0.36363636363636365,1.022981671791198,-1.331115683840827,0.43915112894061353,-5.225883099720997,7.134044332419002,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+VOLRISK,rolling5y,0.3,7,0.09859154929577464,-0.8367924798941598,-1.6680131347854428,0.2857142857142857,1.0303429313270567,-1.5836466443826462,0.2602456640139482,-5.857547359259119,5.857547359259119,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+VOLRISK,decay3y,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+VOLRISK,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,expanding,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,rolling5y,0.0,15,0.2112676056338028,-0.2618598055131504,-0.800929143753582,0.4666666666666667,0.9396771629941002,-1.3132046529569945,0.626115294191517,-3.927897082697256,6.188234678009563,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+CONSENSUS,rolling5y,0.1,9,0.1267605633802817,-0.2922526514161088,-0.6340415265959392,0.4444444444444444,1.022981671791198,-1.3444401099819543,0.6087183291816123,-2.6302738627449793,4.538435095442983,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+CONSENSUS,rolling5y,0.2,6,0.08450704225352113,-0.6620549980227121,-1.0324284069342347,0.3333333333333333,1.3133954849804124,-1.6497802395242744,0.3980516475816012,-3.972329988136272,5.345790542078044,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+CONSENSUS,rolling5y,0.3,4,0.056338028169014086,-0.9391263425780929,-1.2273036482803663,0.25,1.2533304160190528,-1.669945262110475,0.2501739516968948,-3.7565053703123716,3.7565053703123716,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+CONSENSUS,decay3y,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+CONSENSUS,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,expanding,0.0,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+FED,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,rolling5y,0.0,7,0.09859154929577464,-0.857089406676924,-1.7002978470646757,0.2857142857142857,1.0303429313270567,-1.6120623418785165,0.2556583339392224,-5.999625846738468,5.999625846738468,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+FED,rolling5y,0.1,3,0.04225352112676056,-0.8740289615439462,-0.8106177812880476,0.3333333333333333,1.2533304160190528,-1.9377086503254457,0.3234052796865388,-2.6220868846318384,2.6220868846318384,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+FED,rolling5y,0.2,3,0.04225352112676056,-0.8740289615439462,-0.8106177812880476,0.3333333333333333,1.2533304160190528,-1.9377086503254457,0.3234052796865388,-2.6220868846318384,2.6220868846318384,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+FED,rolling5y,0.3,3,0.04225352112676056,-0.8740289615439462,-0.8106177812880476,0.3333333333333333,1.2533304160190528,-1.9377086503254457,0.3234052796865388,-2.6220868846318384,2.6220868846318384,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+FED,decay3y,0.0,1,0.014084507042253521,-2.243435380905006,0.0,0.0,0.0,-2.243435380905006,0.0,-2.243435380905006,2.243435380905006,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+FED,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+FED,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,expanding,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,expanding,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,expanding,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,expanding,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,rolling5y,0.0,8,0.11267605633802817,-0.6308651268048,-1.284088250463876,0.375,0.9507556094808091,-1.5798375685761656,0.36108355506611267,-5.0469210144384,5.262393171075792,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+POSITIONING,rolling5y,0.1,6,0.08450704225352113,-0.6659833166266865,-1.0375988878251492,0.3333333333333333,1.3133954849804124,-1.6556727174302357,0.39663499650429984,-3.995899899760119,4.211372056397511,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+POSITIONING,rolling5y,0.2,5,0.07042253521126761,-0.5675823004911479,-0.7306577641847035,0.4,1.3133954849804124,-1.8215674908055213,0.48068325461810973,-2.8379115024557393,4.211372056397511,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+POSITIONING,rolling5y,0.3,3,0.04225352112676056,-0.8740289615439462,-0.8106177812880476,0.3333333333333333,1.2533304160190528,-1.9377086503254457,0.3234052796865388,-2.6220868846318384,2.6220868846318384,-2.243435380905006,1.0,-2.243435380905006
NFP,knn,PRICE+POSITIONING,decay3y,0.0,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,decay3y,0.1,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,decay3y,0.2,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+POSITIONING,decay3y,0.3,0,0.0,,,,,,,,,,,
NFP,knn,PRICE+MACRO+RATES,expanding,0.0,8,0.11267605633802817,-0.6342269141709352,-1.2646975382580543,0.375,1.004020862458543,-1.6171755801486225,0.3725090366624028,-5.073815313367482,6.118342579443933,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+MACRO+RATES,expanding,0.1,3,0.04225352112676056,-1.843946458604117,-7.017270827806042,0.0,0.0,-1.843946458604117,0.0,-5.531839375812351,5.531839375812351,-2.243435380905006,3.0,-2.243435380905006
NFP,knn,PRICE+MACRO+RATES,expanding,0.2,2,0.028169014084507043,-2.0916824434239345,0.0,0.0,0.0,-2.0916824434239345,0.0,-4.183364886847869,4.183364886847869,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+MACRO+RATES,expanding,0.3,2,0.028169014084507043,-2.0916824434239345,0.0,0.0,0.0,-2.0916824434239345,0.0,-4.183364886847869,4.183364886847869,-2.243435380905006,2.0,-2.243435380905006
NFP,knn,PRICE+MACRO+RATES,rolling5y,0.0,13,0.18309859154929578,-0.12812571979052695,-0.37609834783234974,0.5384615384615384,0.9063530701497532,-1.3350176413875205,0.7920583836448145,-1.6656343572768502,6.854863273078049,-1.9399295059428627,5.0,-1.9399295059428627
