event_id,family,t0_utc,year,U,sl_usd,R_long,R_short,R_long_cons,R_short_cons,stop_long,stop_short,a_move,a_range,a_spread_m10,unit_atr_m1_60,range_over_atr
NFP_2022-03-04,NFP,2022-03-04 13:30:00+00:00,2022,13.12156494589678,7.872938967538068,0.04218603133716709,-0.284375626336157,-0.05539428818110797,-0.3819559458544032,False,False,0.32700000000022555,3.3265000000001237,0.3849999999999909,0.9786666666666747,3.39901226158048
CPI_2022-03-10,CPI,2022-03-10 13:30:00+00:00,2022,13.475644948682987,8.085386969209791,0.07096710425672091,-0.3243139147186813,-0.029511327152174298,-0.42479234612760464,False,False,1.2179999999998472,4.742999999999938,0.37400000000002365,1.7515499999999824,2.7078872998201513
NFP_2022-04-01,NFP,2022-04-01 12:30:00+00:00,2022,9.90353105156694,5.942118630940164,-0.39279325186251984,0.028941848973620482,-0.5324821829582348,-0.11074708212209448,False,False,-1.0950000000000273,2.7265000000002146,0.4420000000000073,0.9157500000000179,2.977340977341153
CPI_2022-04-12,CPI,2022-04-12 12:30:00+00:00,2022,5.013549740752183,3.00812984445131,1.4359264803571614,-1.4768467219573087,1.1736062213245544,-1.9702075397216743,False,True,5.1684999999999945,5.933499999999867,0.4179999999998927,0.8038833333333476,7.381046171707871
NFP_2022-05-06,NFP,2022-05-06 12:30:00+00:00,2022,5.609450405602345,3.365670243361407,0.659164398049927,-1.17018891193172,0.4003927605972902,-1.5350315468933688,False,True,3.574999999999818,3.7894999999998618,0.5740000000000691,0.6377499999999979,5.941983535868089
CPI_2022-05-11,CPI,2022-05-11 12:30:00+00:00,2022,4.7069332701432325,2.8241599620859392,-1.3051866570892166,1.6850830561611672,-1.2900004776320864,1.447804782622826,True,False,-4.739000000000033,5.574499999999944,0.2660000000000764,0.6896166666666734,8.083476327428121
NFP_2022-06-03,NFP,2022-06-03 12:30:00+00:00,2022,4.330408728732765,2.598245237239659,-1.1820868392171968,-0.8410874649851212,-1.4240589944967184,-1.7954635048058074,True,False,0.5789999999999509,4.629500000000007,0.6139999999998054,0.6146166666666659,7.532337229167252
CPI_2022-06-10,CPI,2022-06-10 12:30:00+00:00,2022,5.686383096276838,3.411829857766103,-1.2459188843558924,0.6060198885045159,-1.4980494230585584,0.3974143807064384,True,False,-2.9960000000000946,6.745999999999867,0.3990000000001146,0.8331166666666642,8.097305299377703
NFP_2022-07-08,NFP,2022-07-08 12:30:00+00:00,2022,4.883542989274279,2.9301257935645673,-2.2709160864746636,1.7239635960662825,-3.137820710699026,1.4490130796858585,True,False,-6.500500000000102,7.699500000000171,0.4959999999998672,0.7248666666666622,10.621953462706086
CPI_2022-07-13,CPI,2022-07-13 12:30:00+00:00,2022,3.972964701048856,2.3837788206293133,-1.160128668845918,1.4210671815207139,-1.50096578551488,1.1133707234212695,True,False,-4.100999999999885,8.222000000000207,0.44499999999993634,0.5138166666666658,16.001816471504533
NFP_2022-08-05,NFP,2022-08-05 12:30:00+00:00,2022,4.144925639337773,2.4869553836026634,-1.969435371576478,3.5525776450406488,-2.614318593275714,3.2241456171139236,True,False,-9.82400000000007,10.279500000000098,0.4479999999998654,0.6152333333333558,16.70829495584286
CPI_2022-08-10,CPI,2022-08-10 12:30:00+00:00,2022,4.415735305955224,2.649441183573134,-1.4716790182680717,-2.213722288444945,-1.7525888209142486,-2.495764405338568,True,True,14.670000000000073,15.33900000000017,0.2840000000001055,0.5457999999999894,28.103700989374254
NFP_2022-09-02,NFP,2022-09-02 12:30:00+00:00,2022,3.3552181565003125,2.0131308939001875,2.2161774048165896,-5.4802918346882565,1.8624549508233892,-6.777817796817636,False,True,5.637000000000171,9.829999999999927,0.52800000000002,0.49801666666668704,19.73829523777556
CPI_2022-09-13,CPI,2022-09-13 12:30:00+00:00,2022,5.31376868624305,3.18826121174583,-1.8864827724409434,3.810980137147058,-2.3236175011970315,3.5930871685783474,True,False,-13.041999999999916,16.36200000000008,0.42699999999990723,0.6568000000000022,24.911693057247298
NFP_2022-10-07,NFP,2022-10-07 12:30:00+00:00,2022,6.535242077562919,3.921145246537751,-1.8186114391697559,0.8066419887895685,-2.2011729373250706,0.5878081670233627,True,False,-4.401000000000067,9.151499999999942,0.7880000000000109,0.719966666666672,12.711005139126637
CPI_2022-10-13,CPI,2022-10-13 12:30:00+00:00,2022,10.788373512764906,6.473024107658944,-1.2613153549574392,2.139876983249793,-1.4113301523457462,2.021068619923888,True,False,-14.257000000000062,22.111999999999853,0.44399999999996,0.89533333333333,24.696947133283622
NFP_2022-11-04,NFP,2022-11-04 12:30:00+00:00,2022,7.066580953886648,4.239948572331989,-1.2429405475315047,0.1827842924929276,-1.8476667502810857,-0.04481469450826134,True,False,-2.4500000000000455,6.649999999999864,0.9259999999999309,0.6057166666666604,10.978730429518642
CPI_2022-11-10,CPI,2022-11-10 13:30:00+00:00,2022,11.112458245923682,6.667474947554209,3.0983715968182852,-2.1350188957548375,2.975705969060678,-2.8339896510494778,False,True,21.870499999999993,22.425000000000182,0.4860000000001037,0.546083333333316,41.06516099496577
NFP_2022-12-02,NFP,2022-12-02 13:30:00+00:00,2022,6.686230449786996,4.011738269872198,-2.0910714846477676,2.649890841542516,-2.2824256928135744,2.357208986193791,True,False,-12.599499999999807,13.265499999999975,0.8140000000000782,0.5644833333333281,23.500250966961108
CPI_2022-12-13,CPI,2022-12-13 13:30:00+00:00,2022,12.722962587531805,7.633777552519083,1.7470289588932206,-2.009171664288099,1.6058617461225844,-2.7495179818376907,False,True,14.943500000000085,23.558500000000095,0.43499999999994543,0.5129333333333458,45.92897062646125
NFP_2023-01-06,NFP,2023-01-06 13:30:00+00:00,2023,9.893710621938464,5.936226373163078,0.008488726142217523,-1.5007192178982562,-0.18780062112184065,-2.027353110118592,False,True,1.9500000000000455,8.704500000000053,0.8859999999999673,0.6726000000000151,12.941570026761609
CPI_2023-01-12,CPI,2023-01-12 13:30:00+00:00,2023,17.229561270201327,10.337736762120796,-1.839068205882601,0.11508292650278161,-2.2091304436847636,0.010214131238776994,True,False,-2.081000000000131,13.624500000000126,0.4859999999998763,0.6499833333333224,20.961306700172347
NFP_2023-02-03,NFP,2023-02-03 13:30:00+00:00,2023,9.348602429015079,5.609161457409047,-1.3831610230708324,1.6109585307202552,-1.5239569345447073,1.4597332528528362,True,False,-10.23350000000005,16.388500000000022,0.6139999999998054,0.6305999999999926,25.98874088170031
CPI_2023-02-14,CPI,2023-02-14 13:30:00+00:00,2023,18.9821618383932,11.38929710303592,-0.8837243342538695,0.629099490089707,-0.9718770965285943,0.5409467278149822,False,False,-9.139999999999873,10.304000000000087,0.6100000000001273,0.7161000000000134,14.3890518084065
NFP_2023-03-10,NFP,2023-03-10 13:30:00+00:00,2023,10.403635106965345,6.242181064179206,0.6471482096508173,-1.9211848513684924,0.48025663933440305,-2.936497822081541,False,True,5.366999999999734,6.804999999999836,0.8780000000001564,0.6366999999999962,10.687922098319268
CPI_2023-03-14,CPI,2023-03-14 12:30:00+00:00,2023,16.358035697492728,9.814821418495637,0.14878460725209952,-0.40731313179740597,0.055006915254019614,-0.5010908237954627,False,False,3.2840000000001055,10.53300000000013,0.7569999999998345,0.6594833333333364,15.971593924537006
CPI_2023-04-12,CPI,2023-04-12 12:30:00+00:00,2023,10.886069170241866,6.53164150214512,1.5443705302391546,-1.4250974042195863,1.4057452398428198,-1.488167415007069,False,True,10.969500000000153,14.021999999999935,0.59699999999998,0.4768500000000055,29.405473419313775
NFP_2023-05-05,NFP,2023-05-05 12:30:00+00:00,2023,7.928783440856463,4.757270064513877,-1.2441884462584973,1.7582688047067394,-1.136643763475759,1.5478790462051624,True,False,-9.323000000000093,13.51299999999992,0.6809999999998126,0.618166666666654,21.85980048530633
CPI_2023-05-10,CPI,2023-05-10 12:30:00+00:00,2023,15.770678301746361,9.462406981047817,1.1093216737584788,-1.0569347598376568,1.00059736058313,-1.0406380289626478,False,True,8.139999999999873,9.288000000000011,0.7470000000000709,0.6262333333333306,14.831532442646592
NFP_2023-06-02,NFP,2023-06-02 12:30:00+00:00,2023,9.425661191772662,5.655396715063596,-1.3687623326903915,0.30671694443286796,-1.6323668285570496,0.1324960984618122,True,False,-3.13149999999996,6.9849999999999,0.6320000000000618,0.541683333333333,12.894987846527624
CPI_2023-06-13,CPI,2023-06-13 12:30:00+00:00,2023,9.226454124395952,5.5358724746375705,-1.628419475213869,-1.2676813965913045,-2.134201556146494,-1.4922069985979955,True,True,7.236499999999978,20.760999999999967,0.7809999999999491,0.49963333333332305,41.552471812663406
NFP_2023-07-07,NFP,2023-07-07 12:30:00+00:00,2023,8.809386922288718,5.285632153373231,0.7073747172538216,-1.093923542581336,0.5076531192749821,-1.279644923017111,False,True,-0.12199999999984357,8.514000000000124,0.7409999999999854,0.5062666666667004,16.81722412430779
CPI_2023-07-12,CPI,2023-07-12 12:30:00+00:00,2023,7.683274426627229,4.609964655976337,1.8223531581980672,-1.1724637287605417,1.6521712243771294,-1.3521902043042886,False,True,9.272999999999683,10.264499999999998,0.4170000000001437,0.4160666666666771,24.670325268385856
